,title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,day,hour,minute
0,86,6.5,7,4,0,0,657,9,114,7.177,25.0,8,192.96,-13.8814,167.158,427,6,55,2023,8,16,12,47
1,87,6.5,8,6,3,0,775,9,92,0.679,40.0,8,69.73,12.814,-88.1265,156,6,54,2023,7,19,0,22
2,227,6.6,7,5,0,0,899,9,70,1.634,28.0,8,171.37,-38.1911,-70.3731,234,5,3,2023,7,17,3,5
3,778,7.2,6,6,0,1,860,9,173,0.907,36.0,8,32.57,54.3844,-160.699,403,6,54,2023,7,16,6,48
4,813,7.3,0,5,0,1,820,1,79,0.879,172.8,0,21.0,54.49,-160.796,17,6,54,2023,7,16,6,48
5,231,6.6,5,4,0,1,802,9,95,2.454,37.0,8,10.0,20.0196,-61.0955,94,6,54,2023,7,10,20,28
6,610,6.9,4,4,0,1,741,9,136,1.179,23.0,8,229.0,-17.853,-174.937,462,6,54,2023,7,2,10,27
7,783,7.2,8,6,0,1,804,9,85,2.59,24.0,8,167.4,-22.9824,-177.208,496,6,54,2023,6,15,18,6
8,308,6.6,6,6,0,1,733,9,50,2.163,129.0,8,10.0,8.8894,-77.1231,333,6,10,2023,5,25,3,5
9,740,7.1,3,4,0,1,777,9,98,2.812,56.0,8,35.98,-23.0622,170.456,500,6,54,2023,5,20,1,51
10,916,7.7,5,4,0,1,927,9,277,3.111,15.0,8,18.03,-23.2286,170.694,500,6,54,2023,5,19,2,57
11,890,7.6,8,6,0,1,907,9,111,3.631,17.0,8,210.1,-15.6002,-174.608,143,6,54,2023,5,10,16,2
12,312,6.6,0,2,0,0,670,9,52,5.123,50.0,8,598.47,-25.2657,178.424,496,6,54,2023,4,28,3,13
13,699,7.1,9,7,0,0,838,9,70,2.282,58.0,8,15.46,-0.781,98.5339,451,6,20,2023,4,24,20,0
14,737,7.1,8,7,0,1,777,9,126,0.708,23.0,8,43.06,-30.0249,-177.897,191,6,54,2023,4,24,0,41
15,428,6.7,0,3,0,1,691,9,166,4.719,10.0,8,595.85,-22.2844,179.391,496,6,54,2023,4,18,4,31
16,675,7.0,5,3,0,0,818,9,131,1.881,31.0,8,594.03,-6.0255,112.033,465,6,20,2023,4,14,9,55
17,158,6.5,7,6,3,1,655,9,104,0.266,30.0,8,105.63,52.7772,158.484,497,1,40,2023,4,3,3,6
18,680,7.0,7,7,0,1,781,9,105,6.45,31.0,8,62.6,-4.2924,143.155,299,1,35,2023,4,2,18,4
19,131,6.5,4,4,0,0,656,9,97,1.622,33.0,8,209.98,-23.4797,-66.5108,389,5,3,2023,3,22,16,0
20,81,6.5,7,5,0,0,1350,9,134,2.53,13.0,8,187.59,36.5227,70.9787,172,1,0,2023,3,21,16,47
21,528,6.8,9,7,1,1,1159,9,152,0.709,28.0,8,65.84,-2.851,-79.8001,113,5,12,2023,3,18,17,12
22,678,7.0,8,5,0,1,756,9,116,1.789,22.0,8,22.06,-30.1147,-176.112,190,6,54,2023,3,16,0,56
23,605,6.9,5,5,0,1,735,9,108,0.784,18.0,8,205.68,-29.4748,-178.787,191,6,54,2023,3,4,6,41
24,133,6.5,7,6,0,1,653,9,66,5.483,45.0,8,10.0,-15.3597,166.385,352,6,54,2023,3,2,18,4
25,7,6.5,4,2,0,1,652,9,115,2.739,20.0,8,598.92,-4.8138,149.487,195,6,35,2023,3,1,5,36
26,498,6.8,9,7,0,0,737,9,128,1.783,20.0,8,20.52,38.0726,73.2077,282,1,45,2023,2,23,0,37
27,857,7.5,9,9,1,0,1411,9,135,0.85,17.0,8,10.0,38.0235,37.203,115,1,50,2023,2,6,10,24
28,350,6.7,9,8,3,0,800,9,108,0.218,44.0,8,14.5,37.4135,36.8306,309,1,50,2023,2,6,1,28
29,934,7.8,9,9,2,0,2910,9,118,1.919,32.0,8,17.92,37.2012,36.9997,84,1,50,2023,2,6,1,17
30,429,6.8,4,3,0,0,718,9,60,5.129,61.0,8,610.67,-26.7209,-63.0394,471,5,3,2023,1,20,22,9
31,630,7.0,3,5,0,1,756,9,130,1.974,17.0,7,28.57,2.7401,127.051,459,6,20,2023,1,18,6,6
32,893,7.6,5,7,0,0,957,9,114,1.575,21.0,8,105.25,-7.0852,130.039,365,6,20,2023,1,9,17,47
33,681,7.0,8,7,0,1,768,9,116,6.096,36.0,8,29.0,-14.9383,166.878,477,6,55,2023,1,8,12,32
34,433,6.8,5,5,0,1,720,9,152,2.587,26.0,8,38.0,-15.3983,-172.968,143,6,54,2022,12,4,19,24
35,634,7.0,8,7,0,1,768,9,117,0.509,17.0,8,14.0,-9.7963,159.596,250,4,42,2022,11,22,2,3
36,553,6.9,4,4,0,0,735,9,99,2.229,34.0,8,25.0,-4.9559,100.738,56,6,54,2022,11,18,13,37
37,614,7.0,3,3,0,1,755,9,147,3.125,18.0,8,579.0,-20.0508,-178.346,471,4,14,2022,11,12,7,9
38,799,7.3,5,5,0,1,833,9,149,1.865,21.0,8,37.0,-19.2918,-172.129,294,6,54,2022,11,11,10,48
39,161,6.6,0,2,0,1,670,9,131,4.998,27.0,8,624.46,-25.5948,178.278,471,6,54,2022,11,9,10,14
40,682,7.0,4,3,0,1,755,9,142,4.578,26.0,6,660.0,-26.0442,178.381,496,6,54,2022,11,9,9,51
41,529,6.8,1,3,0,1,711,9,136,4.678,22.0,8,630.38,-25.9678,178.363,496,6,54,2022,11,9,9,38
42,396,6.7,7,6,0,1,797,9,145,1.151,37.0,8,20.0,7.6712,-82.3396,64,6,34,2022,10,20,11,57
43,492,6.8,8,7,3,1,1179,9,175,2.137,92.0,8,20.0,18.33,-102.913,13,3,26,2022,9,22,6,16
44,878,7.6,9,8,3,1,1799,9,271,1.153,69.0,8,26.94,18.3667,-103.252,13,3,26,2022,9,19,18,5
45,596,6.9,9,9,3,1,887,9,215,0.401,34.0,8,10.0,23.1444,121.307,489,1,44,2022,9,18,6,44
46,143,6.5,7,7,0,1,756,9,178,0.43,54.0,8,10.0,23.029,121.348,239,1,44,2022,9,17,13,41
47,637,7.0,7,5,0,1,761,9,192,2.977,45.0,8,137.0,-21.2077,170.239,158,6,54,2022,9,14,11,4
48,885,7.6,8,8,3,1,965,9,272,3.158,12.0,8,116.0,-6.2237,146.471,175,4,35,2022,9,10,23,47
49,251,6.6,9,8,1,0,1043,9,141,8.454,34.0,8,12.0,29.7263,102.279,181,1,36,2022,9,5,4,52
50,313,6.6,7,6,0,1,672,9,68,5.293,34.0,8,30.0,-32.6922,-178.959,498,6,54,2022,8,14,13,44
51,619,7.0,9,8,3,1,1351,9,152,5.276,22.0,8,33.73,17.5978,120.809,46,1,38,2022,7,27,0,43
52,5,6.5,3,2,0,0,653,9,236,1.999,31.0,8,622.73,-9.0618,-71.1647,446,5,7,2022,6,8,0,55
53,741,7.2,7,5,0,1,876,9,144,2.494,40.0,8,236.0,-14.8628,-70.3081,34,5,37,2022,5,26,12,2
54,530,6.9,2,5,0,1,733,9,127,0.371,45.0,8,10.0,-54.1325,159.027,471,6,54,2022,5,19,10,13
55,512,6.8,6,5,0,1,762,9,162,1.505,30.0,8,220.0,-23.6141,-66.7236,389,5,3,2022,5,10,23,6
56,267,6.6,6,5,0,1,762,9,0,0.914,94.0,8,27.0,11.5538,-86.9919,254,6,54,2022,4,21,7,42
57,683,7.0,6,4,0,1,763,9,0,2.705,26.0,8,10.0,-22.5732,170.349,500,6,54,2022,3,31,5,44
58,569,6.9,6,4,0,1,738,9,0,2.697,42.0,8,10.0,-22.72,170.277,442,6,54,2022,3,30,20,56
59,401,6.7,8,7,0,1,806,9,0,0.289,32.0,8,24.0,23.3421,121.636,148,1,44,2022,3,22,17,41
60,808,7.3,9,8,2,1,2397,9,0,2.936,29.0,8,41.0,37.7015,141.587,289,6,54,2022,3,16,14,36
61,348,6.7,9,6,0,0,708,9,0,2.188,43.0,8,28.0,-0.6831,98.6034,339,1,20,2022,3,13,21,9
62,305,6.6,2,7,0,1,670,9,0,0.827,46.0,8,24.0,-30.0528,-177.74,191,6,54,2022,3,2,12,52
63,529,6.8,2,3,0,1,712,9,0,5.78,12.0,8,535.0,-23.7852,-179.968,496,6,54,2022,2,16,20,21
64,94,6.5,8,6,0,0,690,9,0,3.026,22.0,8,110.0,-4.455,-76.9395,49,5,37,2022,2,3,15,58
65,150,6.5,7,4,0,1,651,9,0,1.088,57.0,8,8.0,-29.535,-176.729,190,6,54,2022,1,29,2,46
66,289,6.6,8,6,0,0,785,9,0,2.418,22.0,8,33.0,-6.9291,105.251,219,6,20,2022,1,14,9,5
67,116,6.5,0,3,0,1,650,1,97,1.616,108.0,0,37.0,52.502,-168.08,302,6,54,2022,1,11,12,39
68,116,6.5,0,3,0,1,650,8,23,0.0,208.8,0,37.0,52.502,-168.08,302,6,54,2022,1,11,12,39
69,266,6.6,8,5,0,1,674,9,0,0.507,49.0,8,19.0,52.6252,-168.15,302,6,54,2022,1,11,12,39
70,414,6.7,0,4,0,1,691,1,50,0.937,126.0,0,33.0,52.48,-167.736,302,6,54,2022,1,11,11,35
71,414,6.7,0,4,0,1,691,8,20,0.0,205.2,0,33.0,52.48,-167.736,302,6,54,2022,1,11,11,35
72,430,6.8,7,6,0,1,730,9,0,0.92,61.0,8,20.0,52.6563,-167.917,302,6,54,2022,1,11,11,35
